Diseases,Counts
Acute-Phase Reaction,10428
"Asthma, Occupational",10408
Chondrosarcoma,10401
Serotonin Syndrome,10366
Fetal Hypoxia,10361
Parasitemia,10354
"Carcinoma, Medullary",10330
Thyrotoxicosis,10328
"Foot Deformities, Acquired",10322
Reinfection,10300
Whooping Cough,10277
Amblyopia,10258
Border Disease,10256
"Jaundice, Obstructive",10232
"Shock, Traumatic",10227
Quadriplegia,10201
Myxoma,10198
"Plaque, Amyloid",10181
"Pneumonia, Pneumococcal",10177
Influenza in Birds,10151
Melanosis,10150
Torsion Abnormality,10146
Adenomatous Polyposis Coli,10139
Trigeminal Neuralgia,10104
Respiratory Aspiration,10080
Nasal Polyps,10043
"Helminthiasis, Animal",10026
Choriocarcinoma,10023
Ureteral Calculi,10023
"Hypertension, Renovascular",10021
Orthostatic Intolerance,10015
"Mastitis, Bovine",10002
Bronchopulmonary Dysplasia,10000
Developmental Dysplasia of the Hip,9991
Femur Head Necrosis,9986
"Sarcoma, Ewing",9980
"Carcinoma, Lobular",9932
"Fetal Membranes, Premature Rupture",9928
"Burns, Chemical",9923
"Neuroma, Acoustic",9914
Hyperostosis,9909
"Hypotension, Orthostatic",9906
Cyanosis,9885
Vesicular Stomatitis,9874
Diverticulitis,9872
"Acidosis, Lactic",9865
Porphyrias,9863
Tooth Resorption,9855
Swayback,9854
Listeriosis,9847
Pulmonary Atelectasis,9817
Shoulder Dislocation,9793
Peptic Ulcer Hemorrhage,9792
Hand Deformities,9780
Retinopathy of Prematurity,9780
Angioedema,9773
Lordosis,9731
Granulomatosis with Polyangiitis,9731
"Fractures, Spontaneous",9698
Spinal Dysraphism,9697
Blister,9681
"Glomerulonephritis, IGA",9670
Folic Acid Deficiency,9670
"Tuberculosis, Central Nervous System",9666
Mandibular Fractures,9658
Pancytopenia,9626
Febrile Neutropenia,9607
Pulmonary Aspergillosis,9584
Vitreous Detachment,9579
"Jaw, Edentulous",9577
"Candidiasis, Oral",9541
"Enterocolitis, Necrotizing",9528
"Hyperbilirubinemia, Neonatal",9512
Pulmonary Valve Insufficiency,9508
Chickenpox,9504
Cystadenocarcinoma,9499
"Wounds, Stab",9496
Epistaxis,9490
Bronchial Hyperreactivity,9487
Hyperhomocysteinemia,9461
"Jaundice, Neonatal",9436
Parasomnias,9429
Hemolytic-Uremic Syndrome,9402
"Abortion, Habitual",9382
Prediabetic State,9381
Erythema Multiforme,9377
"Hemangioma, Cavernous",9368
"Nystagmus, Pathologic",9361
Plant Poisoning,9348
"Parkinson Disease, Secondary",9347
"Hip Dislocation, Congenital",9339
Hyperoxia,9331
Severe Combined Immunodeficiency,9329
Silicosis,9322
"Hearing Loss, Noise-Induced",9303
Adenocarcinoma in Situ,9273
Respiratory Tract Fistula,9270
Vitiligo,9270
Barrett Esophagus,9252
Tooth Fractures,9230
Uterine Rupture,9230
Thrombocytosis,9170
Spinocerebellar Degenerations,9165
Latent Tuberculosis,9157
"Cardiac Complexes, Premature",9146
Jaw Cysts,9128
"Hernia, Hiatal",9127
"Liver Cirrhosis, Experimental",9120
Drug Resistant Epilepsy,9103
Tricuspid Valve Insufficiency,9083
Infectious Mononucleosis,9076
Angiomatosis,9075
Agammaglobulinemia,9069
"Tooth, Impacted",9050
"Abortion, Veterinary",9045
"Dyskinesia, Drug-Induced",9034
"Hearing Loss, Bilateral",9010
Choristoma,9009
"Adrenal Hyperplasia, Congenital",8980
Vesico-Ureteral Reflux,8974
Giant Cell Arteritis,8955
Polycythemia Vera,8940
Megacolon,8934
Esophageal Achalasia,8921
Lacerations,8909
Keratoconus,8897
Histiocytoma,8890
Heavy Chain Disease,8888
Anastomotic Leak,8883
"Epilepsy, Tonic-Clonic",8881
Williams Syndrome,8868
"Stenosis, Pulmonary Artery",8860
Visceral Pain,8830
Transposition of Great Vessels,8794
"Urinary Bladder, Overactive",8763
"Aging, Premature",8763
"Carcinoma, Adenoid Cystic",8752
Ventilator-Induced Lung Injury,8748
Rectal Fistula,8744
Gestational Weight Gain,8730
Tooth Wear,8718
"Adenoma, Islet Cell",8710
"Reflex, Abnormal",8694
Zika Virus Infection,8654
Snoring,8632
"Meningitis, Viral",8623
"Anemia, Megaloblastic",8594
Subcutaneous Emphysema,8590
"Granulomatous Disease, Chronic",8586
Convalescence,8579
Endolymphatic Hydrops,8560
"Acidosis, Respiratory",8548
"Pneumonia, Ventilator-Associated",8538
Hereditary Sensory and Motor Neuropathy,8534
Alkalosis,8500
alpha-Thalassemia,8494
Gastric Outlet Obstruction,8477
Marfan Syndrome,8457
"Rhinitis, Allergic, Perennial",8427
Yellow Fever,8417
"Dysentery, Bacillary",8416
"Lymphoma, T-Cell, Peripheral",8405
Tracheal Stenosis,8402
Hand Dermatoses,8378
Cholesteatoma,8375
Contusions,8356
Lung Abscess,8354
Taeniasis,8350
"Glomerulosclerosis, Focal Segmental",8333
"Pleural Effusion, Malignant",8317
Liposarcoma,8279
"Anemia, Hemolytic, Autoimmune",8257
Dysmenorrhea,8243
Carotid Artery Thrombosis,8236
Actinomycosis,8230
"Lupus Erythematosus, Cutaneous",8229
"Leukemia, Plasma Cell",8211
"Embolism, Air",8204
Mycosis Fungoides,8194
"Uveitis, Posterior",8177
Multiple Endocrine Neoplasia,8166
Primary Myelofibrosis,8165
"Pneumonia, Mycoplasma",8138
Prostatitis,8136
Anthrax,8127
Asphyxia Neonatorum,8127
Odontogenic Cysts,8126
Cystadenoma,8126
Leukemia L1210,8109
Mastocytosis,8101
Spinocerebellar Ataxias,8101
Hyperlipoproteinemia Type II,8083
"Cholangitis, Sclerosing",8074
"Hypertrophy, Right Ventricular",8060
Mesenteric Ischemia,8059
Facial Dermatoses,8054
Osteochondritis,8053
Pleurisy,8045
Hemangiosarcoma,8033
Vocal Cord Paralysis,8029
Mite Infestations,8006
Dysarthria,8005
Cerebrospinal Fluid Leak,8002
Hypoalbuminemia,8002
Hypospadias,7975
Meniere Disease,7960
"Tuberculosis, Lymph Node",7959
"Anemia, Neonatal",7956
Glycogen Storage Disease,7921
Insulinoma,7914
"Conjunctivitis, Bacterial",7875
Lethargy,7871
Duodenal Obstruction,7869
"Leukemia-Lymphoma, Adult T-Cell",7866
Multiple System Atrophy,7866
Healthcare-Associated Pneumonia,7854
"Tuberculosis, Urogenital",7851
Pseudarthrosis,7831
Azoospermia,7826
Binge Drinking,7826
Pancreatic Fistula,7818
Labor Pain,7817
Raynaud Disease,7816
Histoplasmosis,7812
"Diarrhea, Infantile",7810
"Tachycardia, Paroxysmal",7808
"Tuberculosis, Meningeal",7775
Urethral Stricture,7768
Mitral Valve Prolapse,7758
Esophageal Perforation,7757
Talipes,7745
"Adenocarcinoma, Clear Cell",7729
Paraparesis,7722
"Encephalitis, Japanese",7708
Asthenia,7705
Potassium Deficiency,7698
"Psychoses, Substance-Induced",7698
"Enterocolitis, Pseudomembranous",7695
Morphological and Microscopic Findings,7693
"Meningitis, Meningococcal",7686
Lithiasis,7670
Spondylolisthesis,7667
Cysticercosis,7649
Frontotemporal Lobar Degeneration,7628
Acute-On-Chronic Liver Failure,7604
Carcinosarcoma,7600
Psychomotor Agitation,7600
Hyperprolactinemia,7567
Magnesium Deficiency,7544
Papilledema,7537
Heart Valve Prolapse,7535
Ureterolithiasis,7522
Parotitis,7510
Stevens-Johnson Syndrome,7509
Hoarseness,7507
Otitis Media with Effusion,7500
Myotonic Dystrophy,7488
Failure to Thrive,7482
Osteoma,7480
Osteomalacia,7468
"Trypanosomiasis, African",7452
Periodontal Attachment Loss,7448
Lewy Body Disease,7420
Mucopolysaccharidoses,7395
Iliac Aneurysm,7380
Fragile X Syndrome,7361
Hypergammaglobulinemia,7361
Retinal Vein Occlusion,7358
Uterine Prolapse,7356
Lymphangioma,7354
Mucocutaneous Lymph Node Syndrome,7351
"Carcinoma, Papillary, Follicular",7346
"Hepatitis, Viral, Animal",7344
Ependymoma,7326
"Tuberculosis, Pleural",7322
Leukoplakia,7319
Vitamin A Deficiency,7304
Sciatica,7298
Polyarteritis Nodosa,7271
Fever of Unknown Origin,7270
Phenylketonurias,7253
Craniosynostoses,7243
Hypophosphatemia,7233
Facial Asymmetry,7221
Multiple Chemical Sensitivity,7214
"Lymphoma, B-Cell, Marginal Zone",7208
Pyoderma,7202
Parental Death,7201
Hemorrhoids,7194
Endometrial Hyperplasia,7193
"Malocclusion, Angle Class I",7178
Gestational Trophoblastic Disease,7171
Lipodystrophy,7167
Cryptosporidiosis,7148
"Empyema, Pleural",7141
"Hemorrhagic Fever, Ebola",7135
Dystocia,7098
Root Resorption,7092
Mobility Limitation,7086
Ichthyosis,7082
Chromosome Inversion,7082
"Toxoplasmosis, Animal",7072
"Amputation, Traumatic",7072
Creutzfeldt-Jakob Syndrome,7067
Gastric Fistula,7024
Congenital Hypothyroidism,7021
"Hypertension, Malignant",6991
Hirsutism,6988
Peptic Ulcer Perforation,6983
"Purpura, Thrombotic Thrombocytopenic",6965
"Echinococcosis, Hepatic",6963
AIDS-Related Complex,6960
Vascular Ring,6959
Milk Hypersensitivity,6949
Corneal Ulcer,6932
"Carcinoma, Embryonal",6929
Migraine with Aura,6910
Migraine without Aura,6910
Embolic Stroke,6906
Epidermolysis Bullosa,6894
Ectodermal Dysplasia,6851
"Adenoma, Pleomorphic",6841
Keratoconjunctivitis,6835
"Puberty, Precocious",6833
Insect Bites and Stings,6832
Carbon Monoxide Poisoning,6828
Blepharoptosis,6806
"Anemia, Refractory",6803
"Myelitis, Transverse",6797
Vaginal Discharge,6783
Bursitis,6778
"Carcinoma, Endometrioid",6775
"Lymphoma, Mantle-Cell",6761
Hypoventilation,6759
Ventricular Premature Complexes,6755
"Foramen Ovale, Patent",6754
Malignant Hyperthermia,6754
Biliary Fistula,6709
Xeroderma Pigmentosum,6702
Lymphocytosis,6696
Enuresis,6676
Foot Dermatoses,6676
Seminoma,6672
Hypovolemia,6659
Endometritis,6656
Urethritis,6630
Spinal Cord Ischemia,6629
Giardiasis,6626
Drowning,6617
"Hearing Loss, Conductive",6606
Oligospermia,6600
Hemoglobinuria,6599
Osteosclerosis,6595
"Pemphigoid, Bullous",6592
Bronchopneumonia,6587
"Anemia, Pernicious",6579
Hepatitis E,6575
Chronic Urticaria,6565
Thiamine Deficiency,6539
Atrial Remodeling,6520
Rhinorrhea,6513
Wolff-Parkinson-White Syndrome,6507
"Leukemia, Myeloid, Chronic-Phase",6505
Myoma,6497
"Tuberculosis, Spinal",6493
Gilbert Disease,6493
Spondylolysis,6490
Pulmonary Eosinophilia,6490
"Histiocytoma, Benign Fibrous",6473
Dysphonia,6473
"Protein Aggregation, Pathological",6473
Mucormycosis,6468
Vaginal Fistula,6468
"Kidney Tubular Necrosis, Acute",6465
"Glomerulonephritis, Membranous",6455
Osteogenesis Imperfecta,6439
Menorrhagia,6409
Morphine Dependence,6406
Narcolepsy,6405
Glycosuria,6404
"Adenocarcinoma, Follicular",6374
Craniofacial Dysostosis,6371
Vitreous Hemorrhage,6364
Gingival Pocket,6358
Heartburn,6354
Polyuria,6352
Hepatolenticular Degeneration,6351
Virilism,6348
Ascariasis,6330
Respiratory Paralysis,6319
Splenic Rupture,6316
Urinary Bladder Fistula,6305
Gaucher Disease,6303
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,6295
Corneal Edema,6292
Periapical Periodontitis,6269
Neointima,6264
"Sarcoma, Avian",6259
Dermoid Cyst,6259
IgG Deficiency,6258
Fibrous Dysplasia of Bone,6238
Hypereosinophilic Syndrome,6235
"Encephalitis, Tick-Borne",6217
"Esophagitis, Peptic",6214
Corneal Opacity,6206
Q Fever,6204
Mercury Poisoning,6203
Legionellosis,6202
"Tuberculosis, Renal",6198
Ascorbic Acid Deficiency,6198
Waldenstrom Macroglobulinemia,6191
"Leukemia, Radiation-Induced",6189
Mitochondrial Myopathies,6188
"Sarcoma, Small Cell",6185
Superinfection,6182
Airway Remodeling,6159
Otosclerosis,6156
Dysgerminoma,6144
"Sleep Apnea, Central",6144
Varicose Ulcer,6132
"Meningitis, Pneumococcal",6131
"Tuberculosis, Cutaneous",6124
Ulna Fractures,6120
Scalp Dermatoses,6116
"Lameness, Animal",6103
Hemothorax,6098
Craniopharyngioma,6089
Wasting Syndrome,6089
Situs Inversus,6086
Vulvitis,6077
Fanconi Anemia,6061
Varicocele,6059
Neuromyelitis Optica,6054
Oral Fistula,6037
Drug Hypersensitivity Syndrome,6035
Seroma,6032
Chromosome Breakage,6031
Squamous Intraepithelial Lesions,6030
"Fractures, Comminuted",6026
"Polycystic Kidney, Autosomal Dominant",6022
"Purpura, Schoenlein-Henoch",6022
"Vasospasm, Intracranial",6014
Delayed Graft Function,6006
Cone Dystrophy,5998
Short Bowel Syndrome,5992
"Leukemia, Erythroblastic, Acute",5984
Hydatidiform Mole,5984
Snake Bites,5981
Glucosephosphate Dehydrogenase Deficiency,5974
"Muscular Dystrophy, Animal",5966
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,5962
Albinism,5962
"Glaucoma, Angle-Closure",5957
Pulmonary Atresia,5956
"Epilepsies, Myoclonic",5954
Chorioamnionitis,5953
"Pain, Procedural",5951
Tourette Syndrome,5950
Biliary Atresia,5945
"Lymphoma, Large-Cell, Anaplastic",5943
"Gastritis, Atrophic",5932
Coronary Vasospasm,5923
Fungemia,5915
Maxillary Sinusitis,5901
Syndactyly,5889
Condylomata Acuminata,5876
"Candidiasis, Invasive",5869
"Cystadenocarcinoma, Serous",5865
Retinal Perforations,5857
Brugada Syndrome,5848
"Leukoplakia, Oral",5839
West Nile Fever,5830
Xanthomatosis,5818
Anuria,5817
"Hearing Loss, Central",5793
"Hernia, Umbilical",5793
"Conjunctivitis, Allergic",5792
Rib Fractures,5780
"Tuberculosis, Bovine",5771
Vertebrobasilar Insufficiency,5764
"Dermatitis, Irritant",5759
"Hernias, Diaphragmatic, Congenital",5750
Takotsubo Cardiomyopathy,5748
Phagocyte Bactericidal Dysfunction,5736
"Goiter, Nodular",5730
"Seizures, Febrile",5729
Hemophilia B,5722
Charcot-Marie-Tooth Disease,5719
Legionnaires' Disease,5718
"Heavy Metal Poisoning, Nervous System",5709
Bacterial Zoonoses,5704
Dyspareunia,5701
"Bites, Human",5697
Solitary Pulmonary Nodule,5686
"Sinus Thrombosis, Intracranial",5678
Esophageal Atresia,5677
Cerebral Intraventricular Hemorrhage,5671
Addison Disease,5671
Bronchiolitis Obliterans,5666
Abnormal Karyotype,5656
"Amyloidosis, Familial",5654
Keloid,5653
Tick Infestations,5645
Hirschsprung Disease,5632
Alopecia Areata,5630
Restless Legs Syndrome,5622
Incisional Hernia,5621
Vulvovaginitis,5619
Spontaneous Perforation,5616
Dental Leakage,5611
Scrapie,5607
Babesiosis,5605
Solitary Kidney,5600
Intestinal Volvulus,5586
Tics,5576
Orbital Fractures,5558
Granular Cell Tumor,5546
"Fasciitis, Necrotizing",5546
Muscle Hypotonia,5541
Coloboma,5534
Eye Foreign Bodies,5529
"Lymphohistiocytosis, Hemophagocytic",5528
Paratyphoid Fever,5525
Mesenteric Vascular Occlusion,5522
Pancreatic Pseudocyst,5509
Placenta Previa,5508
"Sarcoma, Synovial",5505
Zygomycosis,5504
Cytokine Release Syndrome,5499
Flank Pain,5496
Hyperandrogenism,5487
Essential Tremor,5482
Anhedonia,5480
"Leukemia, Hairy Cell",5468
"Hearing Loss, High-Frequency",5465
Choledocholithiasis,5462
Bronchial Fistula,5459
Viral Zoonoses,5455
"Cholesteatoma, Middle Ear",5441
"Hearing Loss, Unilateral",5441
Mediastinitis,5434
"Brain Hemorrhage, Traumatic",5434
"Vaginosis, Bacterial",5432
Hematemesis,5425
Gingival Recession,5410
Hemoperitoneum,5407
Syringomyelia,5388
Hyperopia,5388
Gynecomastia,5388
Fabry Disease,5375
"Lichen Planus, Oral",5372
Pyloric Stenosis,5370
Endoleak,5366
Chills,5363
Oligodendroglioma,5362
Epidermal Cyst,5355
Osteitis Deformans,5353
Central Nervous System Cysts,5349
Simian Acquired Immunodeficiency Syndrome,5347
Melena,5347
Trichinellosis,5346
Trachoma,5345
Hyperhidrosis,5340
Takayasu Arteritis,5334
"Supranuclear Palsy, Progressive",5319
"Spasms, Infantile",5316
Torticollis,5311
Ototoxicity,5310
Knee Dislocation,5304
"Scleroderma, Localized",5296
"Tuberculosis, Gastrointestinal",5295
Onchocerciasis,5286
Tracheoesophageal Fistula,5286
Urinary Bladder Neck Obstruction,5281
Scabies,5259
"Carcinoma, Lewis Lung",5251
Exostoses,5243
alpha 1-Antitrypsin Deficiency,5236
"Thrombocythemia, Essential",5230
Dysuria,5225
Panniculitis,5222
"Corneal Dystrophies, Hereditary",5213
"Hearing Loss, Functional",5209
Anterior Wall Myocardial Infarction,5201
Altitude Sickness,5192
Stuttering,5188
Thrombotic Stroke,5184
Temporomandibular Joint Dysfunction Syndrome,5182
Agenesis of Corpus Callosum,5182
"Diverticulosis, Colonic",5174
"Hand Deformities, Congenital",5172
Graves Ophthalmopathy,5169
Moyamoya Disease,5166
Giant Cell Tumor of Bone,5163
Asbestosis,5148
"Paraganglioma, Extra-Adrenal",5147
Laryngitis,5145
Premenstrual Syndrome,5109
Carbon Tetrachloride Poisoning,5093
Chordoma,5091
Eye Burns,5091
Familial Mediterranean Fever,5089
"Embolism, Fat",5077
Ameloblastoma,5075
Herpes Genitalis,5071
Intra-Articular Fractures,5071
Hypoproteinemia,5070
"Diverticulitis, Colonic",5068
Hemangioendothelioma,5052
Food Intolerance,5048
Mucocele,5038
Lentigo,5037
"Pancreatitis, Acute Necrotizing",5035
"Hearing Loss, Sudden",5032
"Histiocytoma, Malignant Fibrous",5029
Tenosynovitis,5029
Sialadenitis,5026
Autolysis,5021
Hyperammonemia,5017
Cryoglobulinemia,5016
"Mixed Tumor, Malignant",5007
Encephalocele,5007
"Epilepsy, Complex Partial",4990
Ileitis,4980
Meningomyelocele,4975
Severe Dengue,4967
Decerebrate State,4967
Hot Flashes,4941
"Leukemia, Monocytic, Acute",4913
Hyperkinesis,4911
"Encephalitis, Herpes Simplex",4903
Blast Crisis,4895
IgA Deficiency,4895
Erythema Nodosum,4894
Retinal Artery Occlusion,4889
Trichostrongyloidiasis,4887
Neurogenic Inflammation,4887
Severe Acute Malnutrition,4880
Heart Murmurs,4878
Superior Vena Cava Syndrome,4868
"Disorder of Sex Development, 46,XY",4867
Rectal Prolapse,4848
"Epilepsy, Frontal Lobe",4834
Rosacea,4822
"Keratitis, Herpetic",4821
"Cholestasis, Extrahepatic",4817
Klinefelter Syndrome,4815
"Aneurysm, Infected",4814
Proctitis,4808
"Tuberculosis, Oral",4806
"Puberty, Delayed",4801
Clubfoot,4798
Ehlers-Danlos Syndrome,4789
Hallux Valgus,4787
Urinary Bladder Calculi,4784
"Fractures, Cartilage",4784
Hand-Foot Syndrome,4777
"Alveolitis, Extrinsic Allergic",4770
Breech Presentation,4763
Onychomycosis,4762
"Tuberculosis, Miliary",4755
Scotoma,4753
"Hemangioma, Capillary",4726
Pseudotumor Cerebri,4725
Tardive Dyskinesia,4722
Tricuspid Valve Stenosis,4721
Mediastinal Emphysema,4720
Epiretinal Membrane,4719
Neurosyphilis,4716
"Leukoencephalopathy, Progressive Multifocal",4688
Cluster Headache,4677
Arteriosclerosis Obliterans,4667
"Pneumonia, Staphylococcal",4650
Choroiditis,4647
"Multiple Sclerosis, Chronic Progressive",4636
"Upper Extremity Deformities, Congenital",4628
Multiple Pulmonary Nodules,4624
Color Vision Defects,4623
Myxedema,4620
"Leprosy, Lepromatous",4608
Cutaneous Fistula,4602
"Meningitis, Haemophilus",4600
"Keratosis, Actinic",4597
"Jaw, Edentulous, Partially",4589
Hypercalciuria,4587
Hidradenitis,4582
"Malocclusion, Angle Class III",4581
Fascioliasis,4579
Chylothorax,4579
von Hippel-Lindau Disease,4570
Fetal Macrosomia,4564
Strongyloidiasis,4561
"Carcinoma, Signet Ring Cell",4554
Glomus Tumor,4553
Hyperphosphatemia,4548
Adrenocortical Carcinoma,4538
Anovulation,4534
Neoplasm Seeding,4531
Tularemia,4526
"Hemoglobinuria, Paroxysmal",4526
Bronchial Spasm,4523
"Urinary Incontinence, Urge",4510
"Hydrocephalus, Normal Pressure",4508
Chronic Kidney Disease-Mineral and Bone Disorder,4504
"Acidosis, Renal Tubular",4497
"Meningitis, Aseptic",4491
Sunburn,4487
Esotropia,4484
Chondroma,4481
Hypoplastic Left Heart Syndrome,4476
Paratuberculosis,4468
Brachial Plexus Neuropathies,4463
Muscle Rigidity,4449
"Pericarditis, Constrictive",4449
Lymphocytic Choriomeningitis,4431
Elephantiasis,4431
Anosmia,4426
Bruxism,4422
Prader-Willi Syndrome,4416
"Dysentery, Amebic",4414
Botulism,4412
Dental Calculus,4403
"Cystitis, Interstitial",4393
"Carcinoma, Merkel Cell",4387
Hypernatremia,4387
"Candidiasis, Vulvovaginal",4385
Chikungunya Fever,4384
"Glomerulonephritis, Membranoproliferative",4339
"Lupus Erythematosus, Discoid",4327
Tension-Type Headache,4324
Budd-Chiari Syndrome,4322
Rett Syndrome,4308
AIDS Dementia Complex,4300
Methemoglobinemia,4299
Sneezing,4291
"Meningitis, Fungal",4282
Arnold-Chiari Malformation,4277
Maxillary Fractures,4277
Angiomyolipoma,4275
"Stomatitis, Aphthous",4267
Spinal Osteophytosis,4262
Tooth Mobility,4253
Reflex Sympathetic Dystrophy,4244
Hepatoblastoma,4241
Hypesthesia,4233
Common Variable Immunodeficiency,4223
Osteochondroma,4221
Decompression Sickness,4218
Pseudorabies,4217
Tooth Discoloration,4214
"Telangiectasia, Hereditary Hemorrhagic",4211
"Leukemia, Myelomonocytic, Acute",4201
"Tachycardia, Reciprocating",4200
Porcine Reproductive and Respiratory Syndrome,4196
Pica,4195
Hidradenitis Suppurativa,4181
"Toxoplasmosis, Congenital",4181
Self Mutilation,4181
"Anemia, Hypoplastic, Congenital",4180
Puerperal Infection,4179
"Paraparesis, Spastic",4178
Aphakia,4177
Myiasis,4174
Intracranial Hypotension,4164
Mouth Breathing,4160
"Malaria, Cerebral",4156
"Hematoma, Subdural, Chronic",4141
"Syphilis, Congenital",4138
Ovarian Hyperstimulation Syndrome,4137
Nocturia,4132
Photophobia,4121
Exocrine Pancreatic Insufficiency,4119
"Asthma, Exercise-Induced",4117
Anencephaly,4116
Torsades de Pointes,4093
Trichomonas Vaginitis,4088
Oliguria,4087
Anodontia,4082
"Burns, Inhalation",4076
Prolactinoma,4075
Eosinophilic Granuloma,4066
Sick Sinus Syndrome,4059
Heat Stroke,4054
Pyoderma Gangrenosum,4053
Polyhydramnios,4050
Salmonella Food Poisoning,4047
Prognathism,4047
Meckel Diverticulum,4045
Vitamin E Deficiency,4044
Hemangiopericytoma,4041
Hypokinesia,4038
Tachypnea,4035
"Porphyrias, Hepatic",4033
Leydig Cell Tumor,4023
Dentin Sensitivity,4020
Arsenic Poisoning,4020
Primary Ovarian Insufficiency,4020
Pterygium,4013
Root Caries,4010
Motion Sickness,4010
Agnosia,4005
Wet Macular Degeneration,4005
"Carcinoma, Adenosquamous",4003
"Carcinoma, Mucoepidermoid",4000
"Lymphoma, AIDS-Related",3994
Extravasation of Diagnostic and Therapeutic Materials,3990
Mycobacterium avium-intracellulare Infection,3987
Avian Leukosis,3985
Gait Ataxia,3984
"Meningitis, Cryptococcal",3983
Polydactyly,3983
Granulosa Cell Tumor,3980
Pulpitis,3972
"Fractures, Avulsion",3972
Gastroparesis,3971
Miosis,3967
Radiation Pneumonitis,3962
Tuberculoma,3952
Lipomatosis,3949
Cerebral Amyloid Angiopathy,3942
Pityriasis,3934
Invasive Pulmonary Aspergillosis,3932
22q11 Deletion Syndrome,3927
Hemianopsia,3927
Bone Malalignment,3907
Sickle Cell Trait,3894
Leukemia P388,3891
"Encephalopathy, Bovine Spongiform",3869
Injection Site Reaction,3868
Lactose Intolerance,3863
Toothache,3858
Intestinal Pseudo-Obstruction,3856
"Granuloma, Foreign-Body",3853
Fibroadenoma,3844
Specific Language Disorder,3844
"Chemical and Drug Induced Liver Injury, Chronic",3835
Peri-Implantitis,3834
"Diverticulum, Colon",3824
Catatonia,3824
Bicuspid Aortic Valve Disease,3824
Organophosphate Poisoning,3819
Eosinophilic Esophagitis,3815
Intestinal Atresia,3814
Placenta Accreta,3814
Persistent Vegetative State,3813
Catalepsy,3812
Hydrops Fetalis,3801
Fanconi Syndrome,3798
Tooth Erosion,3797
Sertoli-Leydig Cell Tumor,3794
Open Bite,3793
Arachnoid Cysts,3789
Pallor,3780
"Hematoma, Subdural, Intracranial",3779
Coccidioidomycosis,3778
"Neoplasm Regression, Spontaneous",3777
Corneal Neovascularization,3774
"Hematoma, Epidural, Cranial",3747
Water Intoxication,3742
"Thyroid Carcinoma, Anaplastic",3739
Middle Lobe Syndrome,3737
Nephrocalcinosis,3720
Wiskott-Aldrich Syndrome,3720
Diabetic Coma,3714
"Carcinoma, Islet Cell",3708
Myotonia,3699
Sarcoma 180,3690
Cerebrospinal Fluid Rhinorrhea,3683
Castleman Disease,3681
Tooth Abrasion,3677
Polydipsia,3674
Folliculitis,3671
"Bronchiolitis, Viral",3666
"Carotid Artery, Internal, Dissection",3662
Dextrocardia,3662
Polymyalgia Rheumatica,3661
Retroperitoneal Fibrosis,3644
Zollinger-Ellison Syndrome,3634
Fibrocystic Breast Disease,3633
Osteopetrosis,3627
Hemosiderosis,3619
Ring Chromosomes,3618
"Diverticulosis, Esophageal",3615
"Granuloma, Giant Cell",3612
Epididymitis,3609
Candidemia,3605
Neurocysticercosis,3605
"Cicatrix, Hypertrophic",3604
Placental Insufficiency,3599
"Tachycardia, Atrioventricular Nodal Reentry",3592
"Otitis Media, Suppurative",3588
Adenomyosis,3587
Ehrlichiosis,3584
"Dermatitis, Seborrheic",3583
"Encephalomyelitis, Acute Disseminated",3581
Bluetongue,3580
Mediastinal Cyst,3580
"Vitreoretinopathy, Proliferative",3580
"Liver Abscess, Amebic",3569
Hemorrhagic Fever with Renal Syndrome,3566
"Osteoma, Osteoid",3564
"Stroke, Lacunar",3564
Hyaline Membrane Disease,3563
Feminization,3561
Meningocele,3556
Dental Pulp Necrosis,3548
"Burns, Electric",3546
White Muscle Disease,3545
"Diverticulum, Esophageal",3543
Macrophage Activation Syndrome,3538
"Cerebral Hemorrhage, Traumatic",3530
Apraxias,3525
Dysgammaglobulinemia,3524
Trismus,3514
"Fluorosis, Dental",3485
Leg Length Inequality,3481
Gingival Overgrowth,3472
Nelson Syndrome,3466
"Sarcoma, Myeloid",3465
Diabetic Cardiomyopathies,3463
Primary Graft Dysfunction,3462
Rheumatoid Vasculitis,3455
Chorioretinitis,3449
"Tuberculosis, Cardiovascular",3436
Lice Infestations,3431
Melioidosis,3427
"Goiter, Endemic",3420
Encephalomalacia,3417
Trigeminal Autonomic Cephalalgias,3407
Tetany,3406
Noma,3404
Choline Deficiency,3402
"Granuloma, Plasma Cell",3401
"Leprosy, Multibacillary",3399
Thromboangiitis Obliterans,3399
Epidural Abscess,3393
Otitis Externa,3392
Lacrimal Duct Obstruction,3385
Hypersplenism,3384
Wallerian Degeneration,3377
Dermatitis Herpetiformis,3376
Orchitis,3373
Anomalous Left Coronary Artery,3373
Autoimmune Pancreatitis,3368
Aggressive Periodontitis,3367
Myocardial Stunning,3361
"Echinococcosis, Pulmonary",3356
DiGeorge Syndrome,3339
Gastric Dilatation,3338
Ventricular Flutter,3336
"Hand, Foot and Mouth Disease",3335
Ecchymosis,3330
Aortitis,3327
Osteochondrosis,3326
"Wasting Disease, Chronic",3325
Adrenocortical Adenoma,3324
"Micronuclei, Chromosome-Defective",3323
Pseudophakia,3318
Periprosthetic Fractures,3307
Vertebral Artery Dissection,3304
Metrorrhagia,3302
"Keratoderma, Palmoplantar",3302
